"","akorda.kz","khabar.kz","nur.kz","sputnik.kz","tengrinews.kz","zakon.kz","mean1","mean2","diff","lb","ub","pvalue",""
"1","0.011","0.066","0.043","0.17","0.3","0.19","0.04","0.22","-0.18","-0.33079845590559","-0.0292015440944104","0.0333361062829822","rally"
"2","0.43","0.77","0.58","0.086","0.24","0.18","0.593333333333333","0.168666666666667","0.424666666666667","0.0659778094172857","0.783355523916048","0.0333448742717794","government"
"3","0.14","0.22","0.23","0.077","0.051","0.088","0.196666666666667","0.072","0.124666666666667","0.0179706676425554","0.231362665690778","0.0351291536917808","law"
"4","0","0.046","0.0087","0.07","0.16","0.1","0.0182333333333333","0.11","-0.0917666666666667","-0.186270561284412","0.00273722795107897","0.0537407127998706","crowd"
"5","0.086","0.14","0.13","0.023","0.026","0.088","0.118666666666667","0.0456666666666667","0.073","-0.00342732548899533","0.149427325488995","0.0566817267797863","deputy"
"6","0.011","0.23","0.48","0.48","1","0.86","0.240333333333333","0.78","-0.539666666666667","-1.11617480108797","0.0368414677546354","0.0600208093089321","turmoil"
"7","0.28","0.35","0.14","0.026","0.063","0.058","0.256666666666667","0.049","0.207666666666667","-0.0462541694358995","0.461587502769233","0.073457470014181","nation"
"8","0.12","0.11","0.048","0.014","0.016","0.022","0.0926666666666667","0.0173333333333333","0.0753333333333333","-0.0200581927895742","0.170724859456241","0.0773075543185234","interest"
"9","0.015","0.077","0.035","0.12","0.079","0.088","0.0423333333333333","0.0956666666666667","-0.0533333333333333","-0.118091449532876","0.0114247828662094","0.0819356185768452","military"
"10","0.19","0.17","0.066","0.0093","0.045","0.029","0.142","0.0277666666666667","0.114233333333333","-0.0379698330228425","0.266436499689509","0.0882060633133383","reform"
"11","0.089","0.087","0.026","0.0023","0.00051","0.015","0.0673333333333333","0.00593666666666667","0.0613966666666667","-0.0223917603544325","0.145185093687766","0.0908266332004962","initiative"
"12","0.082","0.11","0.095","0.028","0.055","0.08","0.0956666666666667","0.0543333333333333","0.0413333333333333","-0.0122424980388615","0.0949091647055281","0.0918957621267316","population"
"13","0.24","0.24","0.069","0.021","0.051","0.0073","0.183","0.0264333333333333","0.156566666666667","-0.0738107009282651","0.386944034261598","0.104392366936594","problem"
"14","0.073","0.067","0.024","0.0047","0.028","0.015","0.0546666666666667","0.0159","0.0387666666666667","-0.017862737777763","0.0953960711110964","0.11322235553458","budget"
"15","0.035","0.061","0.082","0.04","0.016","0.022","0.0593333333333333","0.026","0.0333333333333333","-0.0152470658652121","0.0819137325318788","0.117601363886389","order"
"16","0.2","0.34","0.078","0.0093","0.032","0.044","0.206","0.0284333333333333","0.177566666666667","-0.140301592530822","0.495434925864155","0.141233251736195","political"
"17","0.076","0.077","0.013","0.0047","0.018","0","0.0553333333333333","0.00756666666666667","0.0477666666666667","-0.0366359831694948","0.132169316502828","0.145603205621865","efficiency"
"18","0.0065","0.031","0.061","0.075","0.093","0.044","0.0328333333333333","0.0706666666666667","-0.0378333333333333","-0.0971519347545891","0.0214852680879224","0.150820113355839","military personnel"
"19","0.022","0.087","0.039","0.07","0.095","0.11","0.0493333333333333","0.0916666666666667","-0.0423333333333333","-0.111256052713427","0.0265893860467601","0.151217248975778","combatant"
"20","0.091","0.1","0.013","0","0.022","0","0.068","0.00733333333333333","0.0606666666666667","-0.048883751343521","0.170217084676854","0.151900355970512","election"
"21","0.052","0.074","0.0094","0.0047","0.0081","0","0.0451333333333333","0.00426666666666667","0.0408666666666667","-0.0390426341783514","0.120775967511685","0.16205027834454","competition"
"22","0.0043","0.026","0.043","0.063","0.028","0.066","0.0244333333333333","0.0523333333333333","-0.0279","-0.0740068813645261","0.0182068813645261","0.16781080924603","Prosecutor General's Office"
"23","0.0022","0.01","0.0087","0.014","0.0081","0.015","0.00696666666666667","0.0123666666666667","-0.0054","-0.014423441966563","0.00362344196656299","0.171156893661447","terrorist attack"
"24","0.0043","0.015","0","0.021","0.053","0.015","0.00643333333333333","0.0296666666666667","-0.0232333333333333","-0.0675561387676287","0.021089472100962","0.178204395225329","injury"
"25","0.084","0.082","0.0043","0.0023","0.012","0","0.0567666666666667","0.00476666666666667","0.052","-0.0579741371924574","0.161974137192457","0.183862709400876","potential"
"26","0.054","0.061","0.056","0.012","0.016","0.058","0.057","0.0286666666666667","0.0283333333333333","-0.0332971978984961","0.0899638645651628","0.191875967312584","opinion"
"27","0.18","0.097","0.022","0.019","0.016","0.015","0.0996666666666667","0.0166666666666667","0.083","-0.113138261828232","0.279138261828232","0.210461869055402","party"
"28","0.013","0.082","0.078","0.065","0.11","0.13","0.0576666666666667","0.101666666666667","-0.044","-0.126606725051038","0.0386067250510379","0.21150834230325","crime"
"29","0.017","0.097","0.087","0.12","0.11","0.31","0.067","0.18","-0.113","-0.356582386996101","0.130582386996101","0.217977698898098","penal"
"30","0.052","0.097","0.056","0.035","0.04","0.058","0.0683333333333333","0.0443333333333333","0.024","-0.0279472205632423","0.0759472205632423","0.233490659436939","threat"
"31","0.073","0.092","0.0087","0.012","0.02","0.015","0.0579","0.0156666666666667","0.0422333333333333","-0.0649346819039336","0.1494013485706","0.235062270290594","trust"
"32","0.056","0.013","0.0047","0.042","0.036","0.11","0.0245666666666667","0.0626666666666667","-0.0381","-0.1221420764679","0.0459420764678999","0.262529564559303","entrepeneur"
"33","0","0.015","0.0043","0.021","0.012","0.073","0.00643333333333333","0.0353333333333333","-0.0289","-0.105441780130301","0.0476417801303008","0.265147033866531","Prosecutor General"
"34","0.1","0.26","0.26","0.22","0.31","0.34","0.206666666666667","0.29","-0.0833333333333334","-0.27230153785402","0.105634871187354","0.274049490645186","oblast"
"35","0.048","0.056","0","0.007","0.02","0","0.0346666666666667","0.009","0.0256666666666667","-0.0413602527511164","0.0926935860844497","0.277151032374924","debt"
"36","0","0.026","0.0087","0.051","0.032","0.0073","0.0115666666666667","0.0301","-0.0185333333333333","-0.063321898348511","0.0262552316818444","0.291594781030885","commandant's office"
"37","0","0.01","0.022","0.007","0.04","0.1","0.0106666666666667","0.049","-0.0383333333333333","-0.14797680168502","0.0713101350183534","0.292536112839142","arrest"
